Asset,Cluster,Sector,Type,Selection_Score,Sharpe_Ratio,Annual_Volatility,Recent_3M_Return,Market_Correlation,Recommendation
GLD,0,ETF_Commodity,Other,0.7438202251568549,0.7715828646444625,0.1441232012338689,0.07311831722940076,0.035896782452034155,Strong Buy
NEM,0,Materials,Other,0.6157311561985572,0.4998737011419637,0.35880502381849805,0.21740326462365744,0.18900385274592266,Buy
LIN,0,Materials,Other,0.49325674391283214,0.8028988777084662,0.2253020004737983,0.020027775877467846,0.6530580084672466,Cautious
WMT,1,Consumer,Defensive,0.6714208762080291,0.8826066561003699,0.2027770091043762,0.12344619054622386,0.4176581413774416,Buy
T,1,Communication,Other,0.5398664985021632,0.49329201113179405,0.22650498605133254,0.03786967993199175,0.3990201011316487,Hold
KO,1,Consumer,Defensive,0.5312252214529936,0.6795944092823287,0.17463872144867149,0.012548342121419864,0.4865734936885036,Hold
AMT,1,REIT,Other,0.527705450354971,0.5476905282769259,0.25158752025862413,0.04190158982282122,0.45321887806831196,Hold
TLT,1,ETF_Bonds,Other,0.5191098743940108,0.04199481991821635,0.14849344105321574,-0.010162197760746339,-0.14625785515730688,Hold
HD,1,Consumer,Other,0.49873218366074945,0.7976169698695073,0.23313856903195862,0.030067109214348076,0.665651014643565,Cautious
NEE,1,Utilities,Defensive,0.4957759078556838,0.664666696281106,0.24181283390628788,-0.006647012894457571,0.4129732624017169,Cautious
V,1,Financial,Value,0.4909637785904012,0.814562532098146,0.2392188649558724,0.03750135380279884,0.732234812441675,Cautious
VZ,1,Communication,Other,0.46933118736984836,0.30385236040312763,0.19522578736655077,-0.021478021415391235,0.3418350113676296,Cautious
MCD,1,Consumer,Other,0.46828710049997335,0.8140468139100531,0.18772712726356675,-0.0431889945757401,0.5050514866371544,Cautious
PG,1,Consumer,Defensive,0.4578551802947396,0.6052549915260279,0.1803790660829699,-0.0459257380298862,0.44094630762967485,Cautious
JNJ,1,Healthcare,Defensive,0.4563336012511964,0.5165743794625247,0.17767567414332103,-0.04027296699961269,0.4354618261562117,Cautious
VNQ,1,ETF_REIT,Other,0.4345813122894622,0.45538914581456275,0.19807503051196843,0.002507627700375936,0.6717824113980314,Cautious
PFE,1,Healthcare,Defensive,0.4165167124151187,0.16234355819425017,0.23476803099051569,-0.020133584983226593,0.423156952869658,Cautious
ABBV,1,Healthcare,Other,0.4004548474648536,0.7635183464908294,0.2546542164734049,-0.08745962042922184,0.4182179871175494,Cautious
PEP,1,Consumer,Defensive,0.36398213148912045,0.47227530254984745,0.17665113541518893,-0.1057224475589229,0.48579056629312706,Avoid
UNH,1,Healthcare,Defensive,0.35889326948825473,0.6830355447799794,0.2637445630041956,-0.19009821483623301,0.4663704227633115,Avoid
XOM,1,Energy,Value,0.34629438470854235,0.396769431203691,0.27593911304166197,-0.07591220854606906,0.47374761230122736,Avoid
SBUX,1,Consumer,Other,0.3408499694126416,0.38209767629618147,0.2696374114240703,-0.05149647997191231,0.6207708749311789,Avoid
CVX,1,Energy,Value,0.31734040738379354,0.4989109590366347,0.2776596256497942,-0.12737607086850755,0.5173278072334863,Avoid
COP,1,Energy,Value,0.28126823617226704,0.4058668091516946,0.3733898932131834,-0.11591538571968685,0.45554397119814016,Avoid
EFA,2,ETF_International,Other,0.5386538447488242,0.5531162944728749,0.16570899164117148,0.09349027086556494,0.8132124698336799,Hold
QQQ,2,ETF_Tech,Other,0.5374349555052076,0.8942932400509118,0.2203601187229736,0.12718210808424768,0.930139933466336,Hold
EEM,2,ETF_Emerging,Other,0.5280128408805279,0.3688633019380119,0.20236050127444627,0.1093328973397556,0.7351127853228169,Hold
SPY,2,ETF_Broad,Other,0.5025099726722473,0.8295627454748933,0.17323638397128246,0.06963442567350109,0.9641863037971588,Hold
VTI,2,ETF_Broad,Other,0.5004703144193628,0.7867837875588254,0.17623413518108785,0.07278235504746422,0.9616988527041359,Hold
IWM,2,ETF_Small,Other,0.46496186612394874,0.47185236874926717,0.22372324191758175,0.06753829149969626,0.8408981075146836,Cautious
MSFT,3,Technology,Growth,0.5740340778461755,1.1010809938975334,0.26562507759707726,0.29827836367225613,0.8116957229022689,Hold
JPM,3,Financial,Value,0.5736876185157183,0.7776126852368794,0.26372419592449664,0.20113526455673636,0.6545155420147388,Hold
CAT,3,Industrial,Other,0.569576705779621,0.7667993538012413,0.3005972640529194,0.18044054446109636,0.6040974136939377,Hold
NVDA,3,Technology,Growth,0.5499186449803207,1.4064218766000922,0.48688763994855144,0.4084717699694247,0.6920569584645108,Hold
AMZN,3,Consumer,Growth,0.5464233137522453,0.8636740932648208,0.3252531408996332,0.12339582665110127,0.7040552234573738,Hold
GOOGL,3,Technology,Growth,0.5414887729672335,0.7816129442970741,0.2876700486645241,0.13928792989533778,0.7454012991720628,Hold
GS,3,Financial,Value,0.5375410578727857,0.6245647290941895,0.28603908915741943,0.2817725410176979,0.685386317793586,Hold
META,3,Technology,Growth,0.5361703183116597,0.8314652878706309,0.35265006024045414,0.252378833586125,0.6833012702879196,Hold
BAC,3,Financial,Value,0.5322426423589145,0.5535245245522923,0.30313511989387804,0.16936995593595916,0.6425664930173581,Hold
GE,3,Industrial,Other,0.5263042976234085,0.4223116392811122,0.35144875334910136,0.28772267540889085,0.5201907068984201,Hold
WFC,3,Financial,Value,0.5199103670516071,0.36875790918024687,0.3108948751417328,0.13961741414064655,0.5865793611474738,Hold
DIS,3,Communication,Other,0.5018580378974216,0.15081651963863127,0.2741165761395686,0.22179339463504832,0.6111151479970149,Hold
BA,3,Industrial,Other,0.4947586659273675,0.35053085720130844,0.38658221439093887,0.1846461821607308,0.5519270742396195,Cautious
TSLA,3,Technology,Growth,0.4719445885229022,0.7700580356456446,0.5884721662525125,0.16749731606236518,0.5164637199770258,Cautious
AAPL,3,Technology,Growth,0.2919636406691779,0.8229815476037037,0.28836863485695574,-0.10522614810019537,0.7630218196968808,Avoid
