Asset,Cluster,Sector,Asset_Type
AAPL,3,Technology,Growth
MSFT,3,Technology,Growth
GOOGL,3,Technology,Growth
NVDA,3,Technology,Growth
META,3,Technology,Growth
TSLA,3,Technology,Growth
JNJ,1,Healthcare,Defensive
PFE,1,Healthcare,Defensive
UNH,1,Healthcare,Defensive
ABBV,1,Healthcare,Other
JPM,3,Financial,Value
BAC,3,Financial,Value
WFC,3,Financial,Value
GS,3,Financial,Value
V,1,Financial,Value
AMZN,3,Consumer,Growth
HD,1,Consumer,Other
MCD,1,Consumer,Other
SBUX,1,Consumer,Other
PG,1,Consumer,Defensive
KO,1,Consumer,Defensive
PEP,1,Consumer,Defensive
WMT,1,Consumer,Defensive
XOM,1,Energy,Value
CVX,1,Energy,Value
COP,1,Energy,Value
BA,3,Industrial,Other
CAT,3,Industrial,Other
GE,3,Industrial,Other
VZ,1,Communication,Other
T,1,Communication,Other
DIS,3,Communication,Other
NEE,1,Utilities,Defensive
AMT,1,REIT,Other
LIN,0,Materials,Other
NEM,0,Materials,Other
SPY,2,ETF_Broad,Other
QQQ,2,ETF_Tech,Other
IWM,2,ETF_Small,Other
VTI,2,ETF_Broad,Other
EFA,2,ETF_International,Other
EEM,2,ETF_Emerging,Other
TLT,1,ETF_Bonds,Other
GLD,0,ETF_Commodity,Other
VNQ,1,ETF_REIT,Other
