Asset,Horizon,Model,Test_R2,Test_RMSE,Test_MAE,Hit_Ratio,Information_Coefficient,CV_Score,CV_Std,Best_Params
AAPL,1M,ridge,-0.13152212454871437,0.07296275063657427,0.059584746809589396,0.5285412262156448,0.002268270789099237,-0.008392710511218936,0.002174944707905539,{'model__alpha': 1000.0}
AAPL,1M,lasso,-0.1000778068550936,0.07194181242214154,0.05811482616792803,0.53276955602537,0.0,-0.007139297878731838,0.0017858236809045174,{'model__alpha': 0.1}
AAPL,1M,elastic_net,-0.1000778068550936,0.07194181242214154,0.05811482616792803,0.53276955602537,0.0,-0.007139297878731838,0.0010808014525431177,"{'model__alpha': 0.1, 'model__l1_ratio': 0.3}"
AAPL,1M,random_forest,-0.2545826781474172,0.07682796266037037,0.06329015186590722,0.5348837209302325,0.08089190327451662,-0.007921407337967899,0.000243473689792609,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 10, 'model__n_estimators': 50}"
AAPL,1M,gradient_boosting,-0.1663125860277821,0.07407593710261404,0.06032792913004716,0.53276955602537,-0.029691607979339077,-0.007368370087064123,0.0008470759017915137,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'model__subsample': 1.0}"
AAPL,1M,svr,-0.1980062775543956,0.07507567057705922,0.06142136649704428,0.53276955602537,0.1433811806211681,-0.006828839943557803,0.2339527240453754,"{'model__C': 10.0, 'model__epsilon': 0.01, 'model__gamma': 0.001, 'model__kernel': 'poly'}"
AAPL,3M,ridge,-0.16954399043752222,0.12629908409468427,0.10226018660109791,0.5849462365591398,0.21304179178581834,-0.024333544612255426,0.003695390909717758,{'model__alpha': 1000.0}
AAPL,3M,lasso,-0.25758993882047854,0.13096686969827148,0.10588114191313792,0.5870967741935483,0.0,-0.02033714578328465,0.0032253982917146585,{'model__alpha': 0.1}
AAPL,3M,elastic_net,-0.25758993882047854,0.13096686969827148,0.10588114191313792,0.5870967741935483,0.0,-0.02033714578328465,0.003154875125378658,"{'model__alpha': 0.1, 'model__l1_ratio': 0.9}"
AAPL,3M,random_forest,-0.15991885455116983,0.12577830106371285,0.10587383943687913,0.632258064516129,0.4967223954131201,-0.022968614784775635,0.0013035305720932248,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50}"
AAPL,3M,gradient_boosting,-0.3664565453353297,0.13651797349635686,0.11541544275512598,0.5870967741935483,0.35530841493880366,-0.020839592648766815,0.0028502165899960494,"{'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__min_samples_split': 2, 'model__n_estimators': 50, 'model__subsample': 0.9}"
AAPL,3M,svr,-0.21240826707289062,0.12859271471269798,0.10330751664115104,0.5870967741935483,0.3653513441258051,-0.01853817785290511,0.4136551630026098,"{'model__C': 10.0, 'model__epsilon': 0.01, 'model__gamma': 0.001, 'model__kernel': 'poly'}"
MSFT,1M,ridge,0.02174169248383051,0.0633753300291971,0.050050295322563755,0.5771670190274841,0.07648913457129082,-0.0046400197327295676,0.0008099714267748132,{'model__alpha': 1000.0}
MSFT,1M,lasso,-0.013134335663647523,0.06449513834113117,0.05031693526922362,0.587737843551797,0.0,-0.0038659215097355372,0.000601716470484021,{'model__alpha': 0.1}
MSFT,1M,elastic_net,-0.013134335663647523,0.06449513834113117,0.05031693526922362,0.587737843551797,0.0,-0.0038659215097355372,0.0003726625585591529,"{'model__alpha': 0.1, 'model__l1_ratio': 0.3}"
MSFT,1M,random_forest,0.0438655215822884,0.0626545984882092,0.04896803321733074,0.5919661733615222,0.2052432183051997,-0.004071906112717136,0.0002028998285843933,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 100}"
MSFT,1M,gradient_boosting,0.05451275508530873,0.06230477023679599,0.0489628339623583,0.587737843551797,0.3882539198147233,-0.003934442239752306,0.0004009125476724683,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'model__subsample': 0.8}"
MSFT,1M,svr,-0.014507857281888858,0.06453884205338072,0.05070076777565555,0.587737843551797,0.17435884467986573,-0.003712662859612294,0.02826671287808577,"{'model__C': 1.0, 'model__epsilon': 0.01, 'model__gamma': 0.001, 'model__kernel': 'poly'}"
MSFT,3M,ridge,-0.17609604391422895,0.09804456940604786,0.08105719933721484,0.6795698924731183,-0.1353765748304029,-0.012322361715730795,0.0012069059316552808,{'model__alpha': 1000.0}
MSFT,3M,lasso,-0.13679685327655222,0.09639257462574427,0.07939409261457836,0.6795698924731183,0.0,-0.009614249052841344,0.0017989360757556137,{'model__alpha': 0.1}
MSFT,3M,elastic_net,-0.13679685327655222,0.09639257462574427,0.07939409261457836,0.6795698924731183,0.0,-0.009614249052841344,0.0015825121988752417,"{'model__alpha': 0.1, 'model__l1_ratio': 0.5}"
MSFT,3M,random_forest,-0.37949518859022535,0.1061847732547388,0.08593485645006226,0.6731182795698925,-0.42209170377300387,-0.011070438481095053,0.0005736253416474732,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}"
MSFT,3M,gradient_boosting,-0.2305726050653154,0.10028957023718058,0.08186631334558873,0.6795698924731183,-0.30442156790374525,-0.010280699937700326,0.0011045485614962804,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_samples_split': 2, 'model__n_estimators': 50, 'model__subsample': 1.0}"
MSFT,3M,svr,-0.20018175280333694,0.0990434269557175,0.08178459541786831,0.6795698924731183,0.04986811765099038,-0.009343667574016676,0.09393687211566508,"{'model__C': 1.0, 'model__epsilon': 0.01, 'model__gamma': 0.001, 'model__kernel': 'poly'}"
GOOGL,1M,ridge,-0.07373589159721594,0.07305610765413696,0.05794278391474094,0.627906976744186,-0.04839763899352869,-0.006499613353523533,0.0008875689515441085,{'model__alpha': 1000.0}
GOOGL,1M,lasso,-0.00019204476419409922,0.07050980158049178,0.05607638129971389,0.6511627906976745,0.0,-0.0056144017974773235,0.0007107684442803573,{'model__alpha': 0.1}
GOOGL,1M,elastic_net,-0.00019204476419409922,0.07050980158049178,0.05607638129971389,0.6511627906976745,0.0,-0.0056144017974773235,0.0004548942433338562,"{'model__alpha': 0.1, 'model__l1_ratio': 0.3}"
GOOGL,1M,random_forest,-0.009284157981244157,0.07082955655483895,0.05471685733786538,0.642706131078224,0.11237681805123195,-0.006234214272087918,0.0005016495981088341,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 50}"
GOOGL,1M,gradient_boosting,-0.07418041872384462,0.07307122871945582,0.05626325635906381,0.5983086680761099,0.06683473189295591,-0.0057444161508340506,0.001285172957940008,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_samples_split': 2, 'model__n_estimators': 50, 'model__subsample': 1.0}"
GOOGL,1M,svr,0.008134257832549507,0.07021570161812306,0.05526776368517615,0.6511627906976745,0.10837907371364111,-0.0054331473230063735,0.0877244098994588,"{'model__C': 1.0, 'model__epsilon': 0.01, 'model__gamma': 0.001, 'model__kernel': 'poly'}"
GOOGL,3M,ridge,-0.02780145610249085,0.12109208124971613,0.09537350937190317,0.7032258064516129,-0.006260890736965729,-0.018082610776722463,0.00327509832213802,{'model__alpha': 1000.0}
GOOGL,3M,lasso,-0.0006535586099374324,0.11948214245305293,0.09528555358831467,0.7032258064516129,0.0,-0.014137698582900132,0.0031281876391955113,{'model__alpha': 0.1}
GOOGL,3M,elastic_net,-0.0006535586099374324,0.11948214245305293,0.09528555358831467,0.7032258064516129,0.0,-0.014137698582900132,0.0025517993081444986,"{'model__alpha': 0.1, 'model__l1_ratio': 0.5}"
GOOGL,3M,random_forest,-0.23718138336382633,0.132854973605686,0.10352313147873742,0.6967741935483871,-0.34914122166450084,-0.015985500804611787,0.0005815254392194852,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 50}"
GOOGL,3M,gradient_boosting,-0.0860809071001074,0.1244778902167262,0.09822985277102977,0.7032258064516129,-0.30631093709411084,-0.014265392941094504,0.0016641976266828131,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_samples_split': 2, 'model__n_estimators': 50, 'model__subsample': 0.9}"
GOOGL,3M,svr,-0.004731567520870339,0.11972536040754715,0.09567892405891097,0.7032258064516129,-0.2011685611576048,-0.013901665609655351,0.12984751235120695,"{'model__C': 10.0, 'model__epsilon': 0.1, 'model__gamma': 0.001, 'model__kernel': 'poly'}"
