,Annual Return,Annual Volatility,Sharpe Ratio,Total Return,Max Drawdown
AAPL,0.24243526050582062,0.29436020826923076,0.823600655575301,6.270420940682905,-0.3851589526099337
MSFT,0.29392908906711745,0.27217390998103225,1.0799311700654972,11.923045208391745,-0.37148476509406836
GOOGL,0.2305205385887627,0.2923151869730203,0.7886026756797928,5.498548583215777,-0.44320049821365526
NVDA,0.7050673021904615,0.5012397701061302,1.4066467671573104,322.658293752143,-0.66335099303014
META,0.2890912952343654,0.38413440338546695,0.7525785055609071,7.476747088758611,-0.7673608956121439
TSLA,0.45927346252233175,0.5923898460787743,0.7752892213842215,16.03453407580272,-0.7363221744219125
JNJ,0.08922415534066667,0.18392685524341607,0.4851067301867577,1.0545625788756166,-0.2736624957195162
PFE,0.04292064869650257,0.2367695176827426,0.18127607437209778,0.1606826074345078,-0.5896198802969717
UNH,0.15097394261101238,0.2844031201664979,0.5308448884900694,1.984517787319429,-0.5576501635001012
ABBV,0.17841018969631128,0.2674679965375786,0.6670337835025624,3.1271376920135516,-0.45089774774966795
JPM,0.21199397253720817,0.2779352629410051,0.7627458649685854,4.629290437501191,-0.43626518898513067
BAC,0.17437645528717205,0.3156192896427183,0.5524898541041854,2.4615290060083685,-0.4894680672968442
WFC,0.11514449212167145,0.3205709053795496,0.35918572206464794,0.8868770943050555,-0.6445712583691876
GS,0.18729821811545522,0.2975429094010529,0.6294830499993506,3.16013641607692,-0.4874876845606786
V,0.20338351206404784,0.247659952049043,0.8212208327641632,4.588713269027948,-0.3636489516409427
AMZN,0.28605456545984675,0.3298369845148241,0.8672604313328313,9.062838222594674,-0.5614526325328258
HD,0.1738149207152361,0.2457535270496985,0.7072733514831129,3.1684031312135357,-0.3799372546617832
MCD,0.15814617487862914,0.2056843291147863,0.7688780937237687,2.9159347249250582,-0.36898543726948774
SBUX,0.11460721692893408,0.2908468181661693,0.3940466588273131,1.0606958592633418,-0.4368289519823221
PG,0.11474211549323057,0.18834482293110447,0.6092130046770791,1.6289633251267612,-0.23772448269965885
KO,0.1068826113652054,0.18098406396371974,0.5905636608239231,1.4615879573274242,-0.369875195286842
PEP,0.08173198016179563,0.19093626191017607,0.428058972895602,0.8817968090642503,-0.30322676498175194
WMT,0.1832228607380162,0.21729316311592878,0.8432058243832751,3.905091308203785,-0.2573968343253028
XOM,0.11060660500782668,0.2822039560938728,0.3919385345931661,1.024190035647917,-0.6134249300247505
CVX,0.12981998576920586,0.29961208013827495,0.4332935631610455,1.3233970009706169,-0.5577393190650916
COP,0.15019695338890293,0.3904689238993459,0.38465789258973226,1.08453085211376,-0.7066102764316173
BA,0.13752564076687257,0.41262471862547007,0.3332947217146761,0.6835855364065191,-0.7792005465221095
CAT,0.22660736588762978,0.30283346326387023,0.7482903753280998,5.04782711997407,-0.4335888666786052
GE,0.14877952891416688,0.356305236425868,0.41756200500051194,1.3392498563304467,-0.8119140434461998
VZ,0.06279160879054074,0.19831779608277367,0.3166211506522231,0.5369257761051269,-0.4120712358386577
T,0.10730470686688111,0.23166647450010056,0.4631861692479571,1.227454755292074,-0.3942908068104456
DIS,0.056281312878216756,0.2873948236127394,0.19583272993829234,0.1624197799830709,-0.6071517367352125
NEE,0.15926146490869741,0.2502606519988999,0.6363823622956016,2.5736294241201216,-0.44969715663052234
AMT,0.14216340381911255,0.25929433249405204,0.5482703862120613,1.9491528149948345,-0.45344221626611625
LIN,0.18367034548171732,0.23114360326061673,0.7946157405646531,3.7772793748990887,-0.3258506301526354
NEM,0.17960290505600562,0.36311943778192207,0.49461110138606623,2.1012320955859254,-0.6240274422729326
SPY,0.14386788805863274,0.18314266129539333,0.7855509308483086,2.5455724537655717,-0.33717250698466805
QQQ,0.197183992113101,0.22613448112768586,0.8719766712700568,4.523692050441645,-0.35118726594252714
IWM,0.09563098307530682,0.23048209120192528,0.41491719628456747,0.9872678387582741,-0.4113329033553893
VTI,0.1390103511827175,0.1865819817706446,0.7450363098490164,2.356514235145747,-0.35000286348859566
EFA,0.08022833174531886,0.17550368329098612,0.45713189741037985,0.9057546130659009,-0.34193382291426766
EEM,0.06644977959856464,0.2086476330025025,0.31847847321501915,0.5592192379658729,-0.39822319874832535
TLT,0.00798836086330823,0.1515522800249476,0.05271026514410232,-0.03415779183085266,-0.48351157101505005
GLD,0.11090273770220671,0.14460366886963802,0.7669427654853411,1.72023909703262,-0.2200216813471555
VNQ,0.07784839268668049,0.21013771615811383,0.3704636850060037,0.7388744532255096,-0.423981756153764
